嗚呼	ああ
賭け	かけ
掛け	かけ
駆け足	かけあし
家計	かけい
駆けっこ	かけっこ
駆ける	かける
賭ける	かける
ヶ月	かげつ
加工	かこう
化合	かごう
嵩張る	かさばる
嵩む	かさむ
風車	かざぐるま
畏まりました	かしこまりました
華奢	かしゃ
箇所	かしょ
火傷	かしょう
箇条書き	かじょうがき
噛る	かじる
微か	かすか
霞む	かすむ
化する	かする
擦る	かする
火星	かせい
化石	かせき
河川	かせん
化繊	かせん
過疎	かそ
過多	かた
難い	かたい
片思い	かたおもい
敵	かたき
気質	かたぎ
片言	かたこと
片付け	かたづけ
傾く	かたぶく
傾ける	かたむける
固める	かためる
偏る	かたよる
傍ら	かたわら
課題	かだい
花壇	かだん
家畜	かちく
画期	かっき
活発	かっぱつ
且つ	かつ
割	かつ
嘗て	かつて
日付	かづけ
門	かど
叶う	かなう
叶える	かなえる
金槌	かなづち
鉄棒	かなぼう
可成	かなり
加入	かにゅう
金庫	かねぐら
予言	かねごと
兼ねて	かねて
下番	かばん
下品	かひん
華美	かび
花粉	かふん
株式	かぶしき
気触れる	かぶれる
貨幣	かへい
構え	かまえ
構える	かまえる
加味	かみ
噛み切る	かみきる
過密	かみつ
瓶	かめ
かも知れない	かもしれない
粥	かゆ
痒い	かゆい
揶揄う	からかう
身体	からだ
体付き	からだつき
絡む	からむ
借り	かり
下吏	かり
加留多	かるた
涸れる	かれる
過労	かろう
辛うじて	かろうじて
側	かわ
可愛い	かわいい
可愛がる	かわいがる
可哀想	かわいそう
可愛らしい	かわいらしい
交わす	かわす
代わる	かわる
代わる代わる	かわるがわる
乾	かん
管	かん
幹	かん
冠	かん
観	かん
館	かん
簡易	かんい
感慨	かんがい
寒気	かんき
簡潔	かんけつ
還元	かんげん
刊行	かんこう
慣行	かんこう
勧告	かんこく
看護	かんご
漢語	かんご
換算	かんさん
監視	かんし
慣習	かんしゅう
観衆	かんしゅう
干渉	かんしょう
感触	かんしょく
肝心	かんじん
歓声	かんせい
感染	かんせん
幹線	かんせん
関税	かんぜい
簡素	かんそ
観点	かんてん
感度	かんど
幹部	かんぶ
勘弁	かんべん
完璧	かんぺき
感無量	かんむりょう
勧誘	かんゆう
関与	かんよ
慣用	かんよう
寛容	かんよう
観覧	かんらん
官僚	かんりょう
慣例	かんれい
還暦	かんれき
貫禄	かんろく
緩和	かんわ
蓋	がい
街	がい
外貨	がいか
外観	がいかん
外相	がいしょう
害する	がいする
概説	がいせつ
該当	がいとう
街頭	がいとう
概念	がいねん
外来	がいらい
概略	がいりゃく
学芸	がくげい
学士	がくし
学説	がくせつ
楽譜	がくふ
学歴	がくれき
崖	がけ
雅致	がち
	がっくり
合唱	がっしょう
	がっしり
合致	がっち
	がっちり
月日	がっぴ
合併	がっぺい
	がる
側	がわ
癌	がん
眼科	がんか
眼球	がんきゅう
眼鏡	がんきょう
頑固	がんこ
願書	がんしょ
頑丈	がんじょう
岩石	がんせき
元年	がんねん
贋物	がんぶつ
元来	がんらい
生	き
期	き
企画	きかく
規格	きかく
着飾る	きかざる
器官	きかん
季刊	きかん
危害	きがい
気兼ね	きがね
気軽	きがる
危機	きき
聞き取り	ききとり
効き目	ききめ
帰京	ききょう
基金	ききん
棄権	きけん
喜劇	きげき
起源	きげん
機構	きこう
既婚	きこん
記載	きさい
気障	きざ
兆し	きざし
兆	きざし
軋む	きしむ
気象	きしょう
期日	きじつ
記述	きじゅつ
奇数	きすう
築く	きずく
傷付く	きずつく
規制	きせい
汽船	きせん
寄贈	きそう
貴族	きぞく
鍛える	きたえる
来る	きたる
気立て	きだて
	きちっと
几帳面	きちょうめん
切っ掛け	きっかけ
	きっかり
喫茶	きっさ
	きっちり
屹度	きっと
	きっぱり
規定	きてい
起点	きてん
軌道	きどう
甲	きのえ
気配	きはい
規範	きはん
