嗚呼	ああ
優越	ゆうえつ
勇敢	ゆうかん
有機	ゆうき
夕暮れ	ゆうぐれ
融資	ゆうし
有する	ゆうする
融通	ゆうずう
優勢	ゆうせい
優先	ゆうせん
誘導	ゆうどう
優美	ゆうび
有望	ゆうぼう
遊牧	ゆうぼく
夕焼け	ゆうやけ
有力	ゆうりょく
幽霊	ゆうれい
誘惑	ゆうわく
揺さぶる	ゆさぶる
茹でる	ゆでる
	ゆとり
指差す	ゆびさす
弓	ゆみ
揺らぐ	ゆらぐ
緩む	ゆるむ
緩める	ゆるめる
緩やか	ゆるやか
世	よ
好い	よい
要因	よういん
溶液	ようえき
用件	ようけん
養護	ようご
用紙	ようし
様式	ようしき
要する	ようする
要請	ようせい
養成	ようせい
様相	ようそう
用品	ようひん
洋風	ようふう
用法	ようほう
要望	ようぼう
余暇	よか
予感	よかん
余興	よきょう
預金	よきん
抑圧	よくあつ
浴室	よくしつ
抑制	よくせい
欲深い	よくふかい
欲望	よくぼう
寄こす	よこす
横綱	よこづな
葦	よし
善し悪し	よしあし
予想	よそう
余所見	よそみ
余地	よち
依って	よって
余程	よっぽど
与党	よとう
呼び止める	よびとめる
夜更かし	よふかし
夜更け	よふけ
読み上げる	よみあげる
寄り掛かる	よりかかる
宜しく	よろしく
弱まる	よわまる
弱める	よわめる
弱る	よわる
来場	らいじょう
酪農	らくのう
落下	らっか
楽観	らっかん
濫用	らんよう
理屈	りくつ
利根	りこん
利子	りし
利潤	りじゅん
理性	りせい
利息	りそく
立体	りったい
立法	りっぽう
利点	りてん
略語	りゃくご
略奪	りゃくだつ
流	りゅう
流通	りゅうつう
了	りょう
料	りょう
領域	りょういき
了解	りょうかい
領海	りょうかい
両極	りょうきょく
良好	りょうこう
良識	りょうしき
良質	りょうしつ
了承	りょうしょう
良心	りょうしん
領地	りょうち
領土	りょうど
両立	りょうりつ
旅客	りょかく
旅券	りょけん
履歴	りれき
理論	りろん
輪	りん
林業	りんぎょう
類似	るいじ
類推	るいすい
冷酷	れいこく
冷蔵	れいぞう
冷淡	れいたん
恋愛	れんあい
連休	れんきゅう
連日	れんじつ
連中	れんじゅう
連帯	れんたい
連邦	れんぽう
連盟	れんめい
老衰	ろうすい
朗読	ろうどく
浪費	ろうひ
労力	ろうりょく
碌な	ろくな
碌に	ろくに
露骨	ろこつ
論議	ろんぎ
論理	ろんり
和	わ
我がまま	わがまま
枠	わく
惑星	わくせい
技	わざ
態と	わざと
態々	わざわざ
煩わしい	わずらわしい
渡り鳥	わたりどり
詫び	わび
和風	わふう
和文	わぶん
藁	わら
割合に	わりあいに
割り当て	わりあて
割り込む	わりこむ
割り算	わりざん
割引き	わりびき
悪者	わるもの
	アイデア
	アクセル
	アップ
	アプローチ
	アマチュア
	アラブ
	アルカリ
	アルミ
	アワー
	アンケート
	アンコール
	イエス
	インターチェンジ
	インターナショナル
	インターフォン
	インテリ
	インフォメーション
	インフレ
	ウェートレス
	エアメール
	エレガント
	エンジニア
	オーケー
	オートマチック
	オープン
	オリエンテーション
	オレンジ
	オンライン
	カーペット
	カクテル
	カット
	カテゴリー
	カムバック
	カメラマン
	カルテ
	カンニング
	ガイド
	ガイドブック
	ガレージ
	キャッチ
	キャリア
	クイズ
	クラブ
	クレーン
	グラフ
	グレー
	ゲスト
	コーナー
	コマーシャル
	コミュニケーション
	コメント
	コンタクト
	コンテスト
	コントラスト
	コントロール
	コンパス
	サイクル
	サイズ
	サボる
	サンキュー
	サンタクロース
	シート
	システム
	シック
	シナリオ
	ショー
	ショック
	ジーパン
	ジャズ
	ジャンパー
	ジャンプ
	ジャンボ
	ジャンル
	スタジオ
	スチーム
	ストライキ
	ストレス
	ストロー
	ストロボ
	スピード
	スプリング
	スペース
	スポーツカー
	スラックス
	セール
	セクション
	セックス
	セレモニー
	センス
	ゼリー
	ソース
	ソックス
	ソロ
	タイトル
	タイピスト
	タイマー
	タイミング
	タイム
	タイムリー
	タイヤ
	タイル
	タレント
	タワー
	ダース
	ダウン
	ダブる
	ダンプ
	チームワーク
	チェンジ
	チャイム
	チャンネル
	ティッシュペーパー
	テレックス
	データ
	デコレーション
	デザート
	デザイン
	デッサン
	デモンストレーション
	トーン
	トラブル
	トランジスター
	ドライ
	ドライクリーニング
	ドライバー
	ドライブイン
	ドリル
	ナイター
	ナプキン
	ナンセンス
	ニュー
	ニュアンス
	ネガ
	ノイローゼ
	ハンガー
	バー
	バッジ
	バット
	パジャマ
	パチンコ
	パトカー
	パンク
	ヒント
	ビールス
	ビジネス
	ファイト
	ファイル
	ファン
	フィルター
	フェリー
	フォーム
	フロント
	ブーツ
	ブーム
	ブザー
	ブルー
	ベース
	ベスト
	ベストセラー
	ペア
	ホース
	ホール
	ボイコット
	ボルト
	ポーズ
	ポイント
	ポジション
	ポット
	ポンプ
	マーク
	マスコミ
	マッサージ
	ミスプリント
	ミセス
	ミュージック
	ミリ
	ムード
	メーカー
	メッセージ
	メディア
	メロディー
	モーテル
	モニター
	ヤング
	ユニーク
	ユニフォーム
	ライス
	ラベル
	ランプ
	ルーズ
	ルール
	レース
	レギュラー
	レクリエーション
	レッスン
	レディー
	レバー
	レンジ
	レンタカー
	レントゲン
	ロープ
ローマ字	ローマじ
	ロマンチック
	ワット
	あっ
愛	あい
	あいかわらず
挨拶	あいさつ
愛情	あいじょう
合図	あいず
	アイスクリーム
愛する	あいする
相手	あいて
	アイデア/アイディア
	あいにく
	あいまい
	アイロン
遭う	あう
	アウト
扇ぐ	あおぐ
青白い	あおじろい
明かり	あかり
	あかんぼう
明き	あき
空き	あき
明らか	あきらか
諦める	あきらめる
飽きる	あきる
	あきれる
握手	あくしゅ
	アクセント
	あくび
悪魔	あくま
飽くまで	あくまで
明け方	あけがた
明ける	あける
揚げる	あげる
挙げる	あげる
	あげる (=やる)
憧れる	あこがれる
足跡	あしあと
	あした
味わう	あじわう
預かる	あずかる
預ける	あずける
汗	あせ
与える	あたえる
暖かい	あたたか(い)
暖まる	あたたまる
暖める	あたためる
辺り	あたり
	あたりまえ
当たる	あたる
	あちこち
あひら	あひら
	あちらこちら
扱う	あつかう
厚かましい	あつかましい
圧縮	あっしゅく
集まり	あつまり
宛名	あてな
	あてはまる
	あてはめる
当てる	あてる
跡	あと
	あと
穴	あな
暴れる	あばれる
浴びる	あびる
油	あぶら
脂	あぶら
	あぶる
	あふれる
雨戸	あまど
甘やかす	あまやかす
余り	あまり
余る	あまる
編物	あみもの
編む	あむ
危うい	あやうい
怪しい	あやしい
誤り	あやまり
粗	あら
荒い	あらい
粗い	あらい
嵐	あらし
	あらすじ
争う	あらそう
新た	あらた
改めて	あらためて
改める	あらためる
	あらゆる
表す	あらわす
現す	あらわす
著す	あらわす
現れ	あらわれ
現れる	あらわれる
有難い	ありがたい
	ありがとう
有る	ある
在る	ある
或	ある
	あるいは
	アルバム
	あれこれ
泡	あわ
合わせる	あわせる
	あわただしい
	あわてる
哀れ	あわれ
案	あん
安易	あんい
案外	あんがい
暗記	あんき
安定	あんてい
	アンテナ
案内	あんない
	あんなに
	あんまり
胃	い
	いい
	よい
いえ	いえ
言い出す	いいだす
言い付ける	いいつける
委員	いいん
言う	ゆう
意外	いがい
行き	いき
行き	ゆき
息	いき
意義	いぎ
生き生き	いきいき
勢い	いきおい
	いきなり
生き物	いきもの
育児	いくじ
幾つ	いくつ
幾分	いくぶん
幾ら	いくら
	いけない
生け花	いけばな
以後	いご
以降	いこう
	イコール
勇ましい	いさましい
医師	いし
意思	いし
意志	いし
維持	いじ
意識	いしき
異常	いじょう
衣食住	いしょくじゅう
意地悪	いじわる
椅子	いす
泉	いずみ
	いずれ
以前	いぜん
板	いた
偉大	いだい
抱く	いだく
	いたずら
	いただきます
頂く	いただく
痛み	いたみ
至る	いたる
	いち
位置	いち
	いちいち
一応	いちおう
一時	いちじ
一段と	いちだんと
一度に	いちどに
市場	いちば
一番	いちばん
一流	いちりゅう
佚	いつ
	いつか
一家	いっか
一昨日	いっさくじつ
一昨年	いっさくねん
一種	いっしゅ
一瞬	いっしゅん
一生	いっしょう
一斉	いっせい
一層	いっそう
一体	いったい
一旦	いったん
一致	いっち
一定	いってい
	いっていらっしゃい
	いってらっしゃい
	いってまいります
	いつでも
	いつのまにか
一般	いっぱん
一方	いっぽう
	いつまでも
いつも	いつも
移転	いてん
井戸	いど
緯度	いど
移動	いどう
従兄弟	いとこ
従姉妹	いとこ
稲	いね
居眠り	いねむり
命	いのち
威張る	いばる
違反	いはん
衣服	いふく
居間	いま
今に	いまに
今にも	いまにも
否	いや
嫌がる	いやがる
	いよいよ
以来	いらい
依頼	いらい
	いらいら
	いらっしゃい
医療	いりょう
煎る	いる
炒る	いる
入れ物	いれもの
岩	いわ
祝い	いわい
祝う	いわう
言わば	いわば
	いわゆる
	インク
	インキ
印刷	いんさつ
印象	いんしょう
引退	いんたい
	インタビュー
引用	いんよう
引力	いんりょく
	ウイスキー
	ウーマン
	ウール
上	うわ
	ウエートレス
植木	うえき
飢える	うえる
魚	うお
	うがい
伺う	うかがう
浮ぶ	うかぶ
浮かべる	うかべる
浮く	うく
承る	うけたまわる
受取	うけとり
受け取る	うけとる
受け持つ	うけもつ
動かす	うごかす
兎	うさぎ
牛	うし
失う	うしなう
後	うしろ
薄暗い	うすぐらい
薄める	うすめる
嘘	うそ
疑う	うたがう
内	うち
打合せ	うちあわせ
打ち消す	うちけす
宇宙	うちゅう
討つ	うつ
撃つ	うつ
	うっかり
映す	うつす
移す	うつす
訴える	うったえる
写る	うつる
映る	うつる
	うどん
	うなる
奪う	うばう
馬	うま
うまい	うまい
生まれ	うまれ
有無	うむ
梅	うめ
埋める	うめる
敬う	うやまう
裏返す	うらがえす
裏切る	うらぎる
裏口	うらぐち
占う	うらなう
恨み	うらみ
恨む	うらむ
羨ましい	うらやましい
羨む	うらやむ
売上	うりあげ
売り切れ	うりきれ
売り切れる	うりきれる
	うるさい
嬉しい	うれしい
売行き	うれゆき
売れる	うれる
	うろうろ
噂	うわさ
うん	（感）
運	うん
運河	うんが
運転	うんてん
	うんと
運動	うんどう
柄	え
永遠	えいえん
永久	えいきゅう
影響	えいきょう
営業	えいぎょう
衛星	えいせい
英文	えいぶん
栄養	えいよう
英和	えいわ
	ええと
笑顔	えがお
描く	えがく
液体	えきたい
餌	えさ
	エチケット
	エネルギー
絵の具	えのぐ
	エプロン
偉い	えらい
得る	える
得る	うる
円	えん
宴会	えんかい
延期	えんき
演技	えんぎ
園芸	えんげい
演劇	えんげき
円周	えんしゅう
援助	えんじょ
	エンジン
演説	えんぜつ
演奏	えんそう
遠足	えんそく
延長	えんちょう
煙突	えんとつ
遠慮	えんりょ
御	お
老い	おい
追い掛ける	おいかける
追い越す	おいこす
追い付く	おいつく
	オイル
王	おう
追う	おう
応援	おうえん
王様	おうさま
王子	おうじ
王女	おうじょ
応じる	おうじる
応ずる	おうずる
応接	おうせつ
応対	おうたい
横断	おうだん
往復	おうふく
欧米	おうべい
応用	おうよう
終える	おえる
大いに	おおいに
覆う	おおう
	オーケストラ
	おおざっぱ
大通り	おおどおり
	オートメーション
	オーバー
	オーバーコート
大家	おおや
大凡	おおよそ
丘	おか
お帰り	おかえり
	おかけください
	おかげさまで
	おかず
拝む	おがむ
お代わり	おかわり
沖	おき
補う	おぎなう
	おきのどくに
奥	おく
屋外	おくがい
	おくさん
送り仮名	おくりがな
贈る	おくる
	おげんきで
怠る	おこたる
起こる	おこる
押える	おさえる
	おさきに
幼い	おさない
収める	おさめる
納める	おさめる
治める	おさめる
惜しい	おしい
	おじいさん
御辞儀	おじぎ
伯父さん	おじさん
小父さん	おじさん
叔父さん	おじさん
	おしゃれ
	おしゃべり
	おじゃまします
汚染	おせん
	おそらく
恐れる	おそれる
恐ろしい	おそろしい
教わる	おそわる
	おだいじに
お互い	おたがい
穏やか	おだやか
落着く	おちつく
御手洗	おてあらい
お出掛け	おでかけ
お手伝いさん	おてつだいさん
	おどかす
男の人	おとこのひと
落し物	おとしもの
	おととい
	おととし
	おとなしい
劣る	おとる
驚かす	おどろかす
お腹	おなか
鬼	おに
	おねがいします
各々	おのおの
伯母さん	おばさん
叔母さん	おばさん
	おはよう
帯	おび
お昼	おひる
	オフィス
溺れる	おぼれる
お参り	おまいり
	おまえ
	おまたせしました
	おまちください
	おまちどおさま
	おめでたい
	おめでとう
お目に掛かる	おめにかかる
思い掛けない	おもいがけない
思い込む	おもいこむ
思いっ切り	おもいっきり
思い付く	おもいつく
思い出	おもいで
重たい	おもたい
主に	おもに
思わず	おもわず
	おや
	おやすみ
	おやつ
親指	おやゆび
泳ぎ	およぎ
	およそ
及ぼす	およぼす
居る	おる
	オルガン
下す	おろす
降ろす	おろす
卸す	おろす
終	おわり
音	おん
恩	おん
恩恵	おんけい
温室	おんしつ
温泉	おんせん
温帯	おんたい
温暖	おんだん
御中	おんちゅう
温度	おんど
女の人	おんなのひと
可	か
蚊	か
課	か
	カー
	カード
	カーブ
会	かい
回	かい
貝	かい
害	がい
会員	かいいん
絵画	かいが
開会	かいかい
海外	かいがい
会館	かいかん
会計	かいけい
解決	かいけつ
会合	かいごう
外交	がいこう
改札	かいさつ
解散	かいさん
開始	かいし
解釈	かいしゃく
外出	がいしゅつ
海水浴	かいすいよく
回数	かいすう
回数券	かいすうけん
改正	かいせい
快晴	かいせい
解説	かいせつ
改善	かいぜん
改造	かいぞう
開通	かいつう
快適	かいてき
回転	かいてん
解答	かいとう
回答	かいとう
外部	がいぶ
回復	かいふく
解放	かいほう
開放	かいほう
海洋	かいよう
概論	がいろん
飼う	かう
帰す	かえす
却って	かえって
代える	かえる
替える	かえる
換える	かえる
反る	かえる
家屋	かおく
香り	かおり
画家	がか
抱える	かかえる
価格	かかく
化学	かがく
輝く	かがやく
係	かかり
掛かる	かかる
罹る	かかる
係わる	かかわる
鍵	かぎ
書留	かきとめ
書取	かきとり
垣根	かきね
限る	かぎる
掻く	かく
描く	かく
嗅ぐ	かぐ
家具	かぐ
学	がく
額	がく
架空	かくう
覚悟	かくご
各自	かくじ
確実	かくじつ
学者	がくしゃ
拡充	かくじゅう
学習	がくしゅう
学術	がくじゅつ
隠す	かくす
拡大	かくだい
各地	かくち
拡張	かくちょう
角度	かくど
確認	かくにん
学年	がくねん
学部	がくぶ
格別	かくべつ
学問	がくもん
確率	かくりつ
学力	がくりょく
隠れる	かくれる
影	かげ
陰	かげ
掛け算	かけざん
可決	かけつ
欠ける	かける
加減	かげん
過去	かこ
籠	かご
火口	かこう
下降	かこう
囲む	かこむ
火災	かさい
重なる	かさなる
重ねる	かさねる
飾り	かざり
火山	かざん
貸し	かし
菓子	かし
家事	かじ
賢い	かしこい
	かしこまりました
貸し出し	かしだし
過失	かしつ
果実	かじつ
貸間	かしま
貸家	かしや
歌手	かしゅ
個所	かしょ
過剰	かじょう
	かじる
数	かず
課税	かぜい
下線	かせん
稼ぐ	かせぐ
	カセット
数える	かぞえる
加速	かそく
加速度	かそくど
型	かた
肩	かた
固い	かたい
堅い	かたい
硬い	かたい
方々	かたがた
片仮名	かたかな
片付く	かたづく
刀	かたな
塊	かたまり
固まる	かたまる
片道	かたみち
傾く	かたむく
片寄る	かたよる
語る	かたる
勝ち	かち
価値	かち
学科	がっか
学会	がっかい
	がっかり
活気	かっき
楽器	がっき
学期	がっき
学級	がっきゅう
担ぐ	かつぐ
括弧	かっこ
格好	かっこう
活字	かつじ
活動	かつどう
活躍	かつやく
活用	かつよう
活力	かつりょく
仮定	かてい
過程	かてい
課程	かてい
仮名	かな
悲しむ	かなしむ
仮名遣い	かなづかい
必ずしも	かならずしも
	かなり
金	かね
鐘	かね
加熱	かねつ
金持ち	かねもち
兼ねる	かねる
可能	かのう
	カバー
過半数	かはんすう
株	かぶ
被せる	かぶせる
被る	かぶる
釜	かま
構う	かまう
我慢	がまん
上	かみ
神	かみ
紙屑	かみくず
神様	かみさま
剃刀	かみそり
雷	かみなり
髪の毛	かみのけ
	ガム
科目	かもく
	かもしれない
貨物	かもつ
	かゆい
火曜	かよう
歌謡	かよう
空	から
殻	から
柄	がら
	カラー
	からかう
空っぽ	からっぽ
刈る	かる
	かるた
彼等	かれら
枯れる	かれる
	カロリー
川	かわ
河	かわ
皮	かわ
革	かわ
	かわいがる
	かわいそう
	かわいらしい
乾かす	かわかす
渇く	かわく
為替	かわせ
瓦	かわら
代る	かわる
缶	かん
勘	かん
考え	かんがえ
感覚	かんかく
間隔	かんかく
換気	かんき
観客	かんきゃく
環境	かんきょう
歓迎	かんげい
感激	かんげき
観光	かんこう
関西	かんさい
観察	かんさつ
感じ	かんじ
感謝	かんしゃ
患者	かんじゃ
鑑賞	かんしょう
勘定	かんじょう
感情	かんじょう
感じる	かんじる
感ずる	かんずる
感心	かんしん
関心	かんしん
関する	かんする
完成	かんせい
間接	かんせつ
完全	かんぜん
乾燥	かんそう
感想	かんそう
観測	かんそく
寒帯	かんたい
官庁	かんちょう
勘違い	かんちがい
缶詰	かんづめ
乾電池	かんでんち
関東	かんとう
感動	かんどう
監督	かんとく
観念	かんねん
乾杯	かんぱい
看板	かんばん
看病	かんびょう
冠	かんむり
管理	かんり
完了	かんりょう
関連	かんれん
漢和	かんわ
気圧	きあつ
議員	ぎいん
記憶	きおく
気温	きおん
機械	きかい
器械	きかい
議会	ぎかい
着替え	きがえ
期間	きかん
機関	きかん
機関車	きかんしゃ
企業	きぎょう
飢饉	ききん
効く	きく
器具	きぐ
期限	きげん
機嫌	きげん
気候	きこう
記号	きごう
刻む	きざむ
岸	きし
生地	きじ
記事	きじ
技師	ぎし
儀式	ぎしき
記者	きしゃ
基準	きじゅん
規準	きじゅん
起床	きしょう
傷	きず
着せる	きせる
基礎	きそ
期待	きたい
気体	きたい
帰宅	きたく
基地	きち
貴重	きちょう
議長	ぎちょう
	きちんと
	きつい
	きっかけ
気付く	きづく
	ぎっしり
気に入る	きにいる
記入	きにゅう
記念	きねん
機能	きのう
気の毒	きのどく
基盤	きばん
寄付	きふ
希望	きぼう
基本	きほん
決まり	きまり
気味	きみ
奇妙	きみょう
義務	ぎむ
疑問	ぎもん
逆	ぎゃく
客席	きゃくせき
客間	きゃくま
	キャプテン
	ギャング
	キャンパス
	キャンプ
九	きゅう
旧	きゅう
級	きゅう
球	きゅう
休暇	きゅうか
休業	きゅうぎょう
休憩	きゅうけい
急激	きゅうげき
休講	きゅうこう
吸収	きゅうしゅう
救助	きゅうじょ
急速	きゅうそく
休息	きゅうそく
急に	きゅうに
給与	きゅうよ
休養	きゅうよう
給料	きゅうりょう
清い	きよい
器用	きよう
強化	きょうか
境界	きょうかい
教科書	きょうかしょ
競技	きょうぎ
行儀	ぎょうぎ
供給	きょうきゅう
教師	きょうし
行事	ぎょうじ
教授	きょうじゅ
恐縮	きょうしゅく
強調	きょうちょう
共通	きょうつう
共同	きょうどう
恐怖	きょうふ
教養	きょうよう
協力	きょうりょく
強力	きょうりょく
行列	ぎょうれつ
許可	きょか
漁業	ぎょぎょう
局	きょく
曲線	きょくせん
巨大	きょだい
嫌う	きらう
霧	きり
規律	きりつ
斬る	きる
切れ	きれ
切れる	きれる
	キロ
記録	きろく
議論	ぎろん
気を付ける	きをつける
金	きん
銀	ぎん
禁煙	きんえん
金額	きんがく
金魚	きんぎょ
金庫	きんこ
禁止	きんし
金銭	きんせん
金属	きんぞく
近代	きんだい
緊張	きんちょう
筋肉	きんにく
金融	きんゆう
金曜	きんよう
九	く
句	く
区域	くいき
食う	くう
偶数	ぐうすう
偶然	ぐうぜん
空想	くうそう
空中	くうちゅう
	クーラー
釘	くぎ
区切る	くぎる
臭い	くさい
鎖	くさり
腐る	くさる
櫛	くし
	くしゃみ
苦情	くじょう
苦心	くしん
屑	くず
崩す	くずす
薬指	くすりゆび
崩れる	くずれる
癖	くせ
管	くだ
具体	ぐたい
砕く	くだく
砕ける	くだける
下さる	くださる
	くたびれる
	くだらない
下り	くだり
下る	くだる
唇	くちびる
口紅	くちべに
苦痛	くつう
	くっつく
	くっつける
	ぐっすり
	くどい
句読点	くとうてん
配る	くばる
工夫	くふう
区分	くぶん
区別	くべつ
組	くみ
組合	くみあい
組合せ	くみあわせ
組み立てる	くみたてる
組む	くむ
汲む	くむ
酌む	くむ
曇	くもり
悔しい	くやしい
悔やむ	くやむ
位	くらい
暮らし	くらし
	クラシック
暮らす	くらす
	グラス
	グランド
	クリーニング
	クリーム
繰り返す	くりかえす
	クリスマス
狂う	くるう
	グループ
苦しい	くるしい
苦しむ	くるしむ
	くるむ
暮れ	くれ
	くれぐれも
苦労	くろう
加える	くわえる
咥える	くわえる
詳しい	くわしい
加わる	くわわる
訓	くん
軍	ぐん
郡	ぐん
軍隊	ぐんたい
訓練	くんれん
下	げ
計	けい
敬意	けいい
経営	けいえい
計画	けいかく
景気	けいき
経験	けいけん
稽古	けいこ
敬語	けいご
傾向	けいこう
蛍光灯	けいこうとう
警告	けいこく
計算	けいさん
掲示	けいじ
刑事	けいじ
形式	けいしき
芸術	げいじゅつ
継続	けいぞく
毛糸	けいと
経度	けいど
系統	けいとう
芸能	げいのう
競馬	けいば
警備	けいび
契約	けいやく
経由	けいゆ
形容詞	けいようし
形容動詞	けいようどうし
	ケース
	ゲーム
怪我	けが
外科	げか
毛皮	けがわ
劇	げき
劇場	げきじょう
激増	げきぞう
下車	げしゃ
下旬	げじゅん
化粧	けしょう
下水	げすい
削る	けずる
桁	けた
下駄	げた
	けち
血圧	けつあつ
血液	けつえき
結果	けっか
欠陥	けっかん
月給	げっきゅう
結局	けっきょく
傑作	けっさく
決心	けっしん
欠席	けっせき
決定	けってい
欠点	けってん
月末	げつまつ
月曜	げつよう
結論	けつろん
気配	けはい
下品	げひん
煙い	けむい
煙	けむり
蹴る	ける
けれど/けれども	
険しい	けわしい
券	けん
県	けん
軒	けん
喧嘩	けんか
見解	けんかい
限界	げんかい
見学	けんがく
謙虚	けんきょ
現金	げんきん
言語	げんご
健康	けんこう
原稿	げんこう
検査	けんさ
現在	げんざい
原産	げんさん
原始	げんし
現実	げんじつ
研修	けんしゅう
厳重	げんじゅう
現象	げんしょう
現状	げんじょう
建設	けんせつ
謙遜	けんそん
現代	げんだい
建築	けんちく
県庁	けんちょう
限度	げんど
見当	けんとう
検討	けんとう
現に	げんに
現場	げんば
顕微鏡	けんびきょう
憲法	けんぽう
権利	けんり
原理	げんり
原料	げんりょう
後	ご
語	ご
碁	ご
恋	こい
濃い	こい
恋しい	こいしい
恋人	こいびと
請う	こう
工員	こういん
強引	ごういん
幸運	こううん
講演	こうえん
効果	こうか
硬貨	こうか
高価	こうか
豪華	ごうか
公害	こうがい
合格	ごうかく
交換	こうかん
高級	こうきゅう
公共	こうきょう
航空	こうくう
光景	こうけい
工芸	こうげい
合計	ごうけい
攻撃	こうげき
貢献	こうけん
孝行	こうこう
広告	こうこく
交差	こうさ
交際	こうさい
講師	こうし
工事	こうじ
公式	こうしき
口実	こうじつ
こうして	こうして
校舎	こうしゃ
後者	こうしゃ
公衆	こうしゅう
工場	こうば
香水	こうすい
公正	こうせい
構成	こうせい
功績	こうせき
光線	こうせん
高層	こうそう
構造	こうぞう
高速	こうそく
交替	こうたい
耕地	こうち
交通機関	こうつうきかん
校庭	こうてい
肯定	こうてい
高度	こうど
高等	こうとう
行動	こうどう
強盗	ごうとう
合同	ごうどう
後輩	こうはい
公表	こうひょう
幸福	こうふく
鉱物	こうぶつ
公平	こうへい
候補	こうほ
公務	こうむ
項目	こうもく
紅葉	こうよう
合理	ごうり
交流	こうりゅう
合流	ごうりゅう
考慮	こうりょ
効力	こうりょく
越える	こえる
超える	こえる
	コース
	コーチ
	コード
	コーラス
氷	こおり
凍る	こおる
	ゴール
誤解	ごかい
語学	ごがく
焦がす	こがす
呼吸	こきゅう
故郷	こきょう
極	ごく
国王	こくおう
国語	こくご
国籍	こくせき
黒板	こくばん
克服	こくふく
国民	こくみん
穀物	こくもつ
国立	こくりつ
	ごくろうさま
焦げる	こげる
ここ	ここ
凍える	こごえる
心当たり	こころあたり
心得る	こころえる
腰	こし
腰掛け	こしかけ
腰掛ける	こしかける
五十音	ごじゅうおん
故障	こしょう
胡椒	こしょう
	こしらえる
個人	こじん
越す	こす
超す	こす
擦る	こする
	ごぞんじですか
個体	こたい
御馳走	ごちそう
	ごちそうさま
	こちらこそ
国家	こっか
国会	こっかい
小遣い	こづかい
国境	こっきょう
	コック
骨折	こっせつ
	こっそり
小包	こづつみ
古典	こてん
事	こと
琴	こと
言付ける	ことづける
異なる	ことなる
言葉遣い	ことばづかい
諺	ことわざ
断る	ことわる
粉	こな
この	この
	こないだ
好み	このみ
好む	このむ
	コピー
御無沙汰	ごぶさた
	こぼす
	こぼれる
塵	ごみ
塵芥	ごみ
	ゴム
小麦	こむぎ
御免	ごめん
	ごめんください
	ごめんなさい
小屋	こや
小指	こゆび
	こらえる
娯楽	ごらく
御覧	ごらん
	コレクション
	これら
頃	ころ
転がす	ころがす
転がる	ころがる
殺す	ころす
転ぶ	ころぶ
紺	こん
今回	こんかい
	コンクール
	コンクリート
今後	こんご
混合	こんごう
混雑	こんざつ
	コンセント
献立	こんだて
	こんなに
困難	こんなん
今日	こんにち
	こんにちは
	こんばんは
	コンピューター
婚約	こんやく
混乱	こんらん
差	さ
	サークル
	サービス
際	さい
在学	ざいがく
最高	さいこう
再三	さいさん
財産	ざいさん
祭日	さいじつ
最終	さいしゅう
催促	さいそく
最中	さいちゅう
最低	さいてい
採点	さいてん
災難	さいなん
才能	さいのう
裁判	さいばん
裁縫	さいほう
材木	ざいもく
材料	ざいりょう
	サイレン
幸い	さいわい
	サイン
境	さかい
逆さ	さかさ
逆様	さかさま
捜す	さがす
遡る	さかのぼる
酒場	さかば
逆らう	さからう
盛り	さかり
	さきおととい
先程	さきほど
作業	さぎょう
裂く	さく
昨	さく
索引	さくいん
作者	さくしゃ
削除	さくじょ
作成	さくせい
作製	さくせい
作品	さくひん
作物	さくもつ
桜	さくら
探る	さぐる
酒	さけ
叫ぶ	さけぶ
避ける	さける
支える	ささえる
囁く	ささやく
刺さる	ささる
匙	さじ
座敷	ざしき
差し支え	さしつかえ
差し引き	さしひき
刺身	さしみ
刺す	さす
指す	さす
挿す	さす
注す	さす
射す	さす
流石	さすが
座席	ざせき
誘う	さそう
札	さつ
撮影	さつえい
雑音	ざつおん
作家	さっか
作曲	さっきょく
	さっさと
早速	さっそく
	ざっと
	さっぱり
	さて
砂漠	さばく
錆	さび
錆びる	さびる
座布団	ざぶとん
差別	さべつ
作法	さほう
様々	さまざま
冷ます	さます
覚ます	さます
妨げる	さまたげる
冷める	さめる
覚める	さめる
左右	さゆう
	さようなら
皿	さら
再来月	さらいげつ
再来週	さらいしゅう
再来年	さらいねん
更に	さらに
	サラリーマン
去る	さる
猿	さる
騒がしい	さわがしい
騒ぎ	さわぎ
	さわやか
参加	さんか
三角	さんかく
参考	さんこう
算数	さんすう
賛成	Uӣ[い
酸性	さんせい
酸素	さんそ
産地	さんち
	サンプル
散歩	さんぽ
山林	さんりん
四	し
氏	し
詩	し
仕上がる	しあがる
	しあさって
幸せ	しあわせ
	シーズン
	シーツ
寺院	じいん
しいんと	（する）
	ジーンズ
自衛	じえい
ジェット機	ジェットき
塩辛い	しおからい
司会	しかい
四角	しかく
四角い	しかくい
直に	じかに
	しかも
叱る	しかる
時間割	じかんわり
式	しき
四季	しき
直	じき
時期	じき
敷地	しきち
支給	しきゅう
至急	しきゅう
	しきりに
敷く	しく
刺激	しげき
茂る	しげる
資源	しげん
事件	じけん
時刻	じこく
自殺	じさつ
持参	じさん
事実	じじつ
磁石	じしゃく
四捨五入	ししゃごにゅう
始終	しじゅう
自習	じしゅう
支出	ししゅつ
事情	じじょう
詩人	しじん
自身	じしん
静まる	しずまる
